fiscalYear,relId,periodId,grantId,metric,size,CIK,participantid,grantDate,startDate,endDate,companyName,percentVest,value,currentCEO,Detail_cleaned,AwardType_x,AwardType_y,awardType,outcome,payoutStructure
2016,484051,1.0,1382294,ROIC,1187489.5,216228,160005.0,2016-02-19,2015-12-19,2018-12-19,Itt INC,0.5,2374979.0,1.0,,rsu,rsu,Stock Award,,
2018,484237,1.0,1382366,,2124937.0,1279363,217515.0,2018-03-19,2017-12-19,2020-12-19,Wellcare Health Plans INC,1.0,2124937.0,1.0,,rsu,rsu,Stock Award,,
2016,484364,1.0,1382406,,1374944.0,1279363,217515.0,2016-03-28,2015-12-28,2018-12-28,Wellcare Health Plans INC,1.0,1374944.0,1.0,,rsu,rsu,Stock Award,,
2016,485017,1.0,1382722,,257425.0,1381531,131095.0,2016-02-22,2015-12-22,2016-12-22,Domtar Corporation,0.125,2059400.0,1.0,,rsu,rsu,Stock Award,,
2016,485017,2.0,1382722,,257425.0,1381531,131095.0,2016-02-22,2016-12-22,2017-12-22,Domtar Corporation,0.125,2059400.0,1.0,,rsu,rsu,Stock Award,,
2016,485017,3.0,1382722,,257425.0,1381531,131095.0,2016-02-22,2015-12-22,2018-12-22,Domtar Corporation,0.125,2059400.0,1.0,,rsu,rsu,Stock Award,,
2016,485017,4.0,1382722,,257425.0,1381531,131095.0,2016-02-22,2017-12-22,2018-12-22,Domtar Corporation,0.125,2059400.0,1.0,,rsu,rsu,Stock Award,,
2016,485729,1.0,1383388,,5499878.0,318154,170418.0,2016-05-03,2016-01-03,2019-01-03,Amgen INC,1.0,5499878.0,1.0,,rsu,rsu,Stock Award,,
2018,486000,1.0,1383668,,2150674.8,1492426,122205.0,2018-01-05,2018-01-05,2021-01-05,Horizon Therapeutics Public Limited Company,0.3,7168916.0,1.0,,rsu,rsu,Stock Award,,
2016,486249,1.0,1383781,,3937760.5,310158,130924.0,2016-03-31,2015-12-31,2018-12-31,Merck & CO INC(2),0.5,7875521.0,1.0,,rsu,rsu,Stock Award,,
2016,486746,1.0,1384111,,143000.0,6769,218016.0,2016-01-01,2016-01-01,2017-01-01,Apache Corporation,0.1,1430000.0,1.0,9|     50|y|;6|     100|y|;1|     200|n|;,cashShort,cashShort,Cash Award,,9|     50|y|;6|     100|y|;1|     200|n|;
2016,486773,1.0,1384116,,2097693.5,6769,218016.0,2016-01-07,2016-01-07,2019-01-07,Apache Corporation,0.5,4195387.0,1.0,,rsu,rsu,Stock Award,,
2018,487276,1.0,1384586,,423410.25,1019737,139200.0,2018-03-15,2018-01-15,2021-01-15,Navigant Consulting INC,0.25,1693641.0,1.0,,rsu,rsu,Stock Award,,
2018,487288,1.0,1384587,,227685.0,1019737,139200.0,2018-12-26,2016-12-26,2019-12-26,Navigant Consulting INC,0.25,910740.0,1.0,,rsu,rsu,Stock Award,,
2018,487282,1.0,1384588,,518477.25,1019737,139200.0,2018-12-26,2017-12-26,2020-12-26,Navigant Consulting INC,0.25,2073909.0,1.0,,rsu,rsu,Stock Award,,
2016,487333,1.0,1384626,,352261.0,1019737,139200.0,2016-03-15,2015-12-15,2018-12-15,Navigant Consulting INC,0.25,1409044.0,1.0,,rsu,rsu,Stock Award,,
2016,487677,1.0,1384898,,1489077.2000000002,1492633,208153.0,2016-02-18,2015-12-18,2018-12-18,Nielsen Holdings Plc,0.4,3722693.0,1.0,,rsu,rsu,Stock Award,,
2016,488208,1.0,1385308,,3150000.0,1035443,10612.0,2016-03-22,2015-12-22,2018-12-22,Alexandria Real Estate Equities INC,1.0,3150000.0,1.0,,rsu,rsu,Stock Award,,
2016,488206,1.0,1385309,,1081539.0,1035443,10612.0,2016-03-31,2015-12-31,2018-12-31,Alexandria Real Estate Equities INC,0.75,1442052.0,1.0,,rsu,rsu,Stock Award,,
2016,489335,1.0,1385974,,6093892.0,1489393,206505.0,2016-02-16,2015-12-16,2018-12-16,Lyondellbasell Industries Nv,1.0,6093892.0,1.0,,rsu,rsu,Stock Award,,
2016,489336,1.0,1385974,,6093892.0,1489393,206505.0,2016-02-16,2015-12-16,2018-12-16,Lyondellbasell Industries Nv,1.0,6093892.0,1.0,,rsu,rsu,Stock Award,,
2016,489338,1.0,1385974,ROA,6093892.0,1489393,206505.0,2016-02-16,2015-12-16,2018-12-16,Lyondellbasell Industries Nv,1.0,6093892.0,1.0,,rsu,rsu,Stock Award,,
2016,489339,1.0,1385974,ROA,6093892.0,1489393,206505.0,2016-02-16,2015-12-16,2018-12-16,Lyondellbasell Industries Nv,1.0,6093892.0,1.0,,rsu,rsu,Stock Award,,
2016,489807,1.0,1386074,,3088204.0,1047862,203807.0,2016-02-01,2016-01-01,2019-01-01,Consolidated Edison INC,0.5,6176408.0,1.0,,rsu,rsu,Stock Award,,
2016,490210,1.0,1386313,,128586.0,918160,195735.0,2016-01-20,2015-12-20,2018-12-20,Ak Steel Holding Corporation,0.5,257172.0,1.0,,rsu,rsu,Stock Award,,
2016,491397,1.0,1387457,,267653.4,1051512,1806.0,2016-08-15,2015-12-15,2018-12-15,Telephone And Data Systems INC,0.2,1338267.0,1.0,,rsu,rsu,Stock Award,,
2016,491798,1.0,1387665,Other,1854000.0,1048286,119059.0,2016-01-01,2016-01-01,2017-01-01,Marriott International INC,1.0,1854000.0,1.0,,cashShort,cashShort,Cash Award,,
2016,491798,2.0,1387665,Other,185400.0,1048286,119059.0,2016-01-01,2016-01-01,2017-01-01,Marriott International INC,0.1,1854000.0,1.0,,cashShort,cashShort,Cash Award,,
2016,491799,1.0,1387665,Other,92700.0,1048286,119059.0,2016-01-01,2016-01-01,2017-01-01,Marriott International INC,0.05,1854000.0,1.0,,cashShort,cashShort,Cash Award,,
2016,491833,1.0,1387670,Other,601930.6954,1048286,119059.0,2016-02-22,2015-12-22,2018-12-22,Marriott International INC,0.3334,1805431.0,1.0,,rsu,rsu,Stock Award,,
2016,491977,1.0,1387873,,1407991.2000000002,1535929,212207.0,2016-03-07,2016-01-07,2019-01-07,Voya Financial INC,0.4,3519978.0,1.0,,rsu,rsu,Stock Award,,
2016,492346,1.0,1387989,,663696.25,916076,141875.0,2016-02-04,2016-01-04,2019-01-04,Martin Marietta Materials INC,0.25,2654785.0,1.0,,rsu,rsu,Stock Award,,
2017,492959,1.0,1388589,,206250.0,23194,9668.0,2017-01-01,2017-01-01,2018-01-01,Comstock Resources INC,0.25,825000.0,1.0,,cashShort,cashShort,Cash Award,,
2016,493003,1.0,1388610,,320800.0,23194,9668.0,2016-01-01,2016-01-01,2017-01-01,Comstock Resources INC,0.4,802000.0,1.0,,cashShort,cashShort,Cash Award,,
2016,493169,1.0,1388750,,1101172.0,7332,174792.0,2016-01-26,2015-12-26,2018-12-26,Southwestern Energy Company,1.0,1101172.0,1.0,,rsu,rsu,Stock Award,,
2016,493332,1.0,1388856,,1710871.84,47111,71935.0,2016-02-16,2015-12-16,2018-12-16,The Hershey Company,0.34,5031976.0,1.0,,rsu,rsu,Stock Award,,
2016,493710,1.0,1389174,Other,600363.5,1095073,194670.0,2016-02-24,2015-12-24,2018-12-24,Everest Re Group LTD,0.5,1200727.0,1.0,,rsu,rsu,Stock Award,,
2016,493962,1.0,1389323,,2601824.0,5513,154385.0,2016-02-23,2015-12-23,2018-12-23,Unum Group,1.0,2601824.0,1.0,,rsu,rsu,Stock Award,,
2016,494067,1.0,1389399,,3599927.0,1014473,8183.0,2016-02-17,2015-12-17,2018-12-17,Verisign INC,1.0,3599927.0,1.0,,rsu,rsu,Stock Award,,
2016,495147,1.0,1389922,Customer Satisfaction,750000.0,100517,66134.0,2016-02-17,2015-12-17,2016-12-17,United Airlines Holdings INC,0.3,2500000.0,1.0,,cashShort,cashShort,Cash Award,,
2016,495543,1.0,1390174,,824975.0,1020569,183965.0,2016-02-18,2015-12-18,2018-12-18,Iron Mountain Incorporated,1.0,824975.0,1.0,,rsu,rsu,Stock Award,,
2016,495886,1.0,1390319,,1321628.0,59558,36679.0,2016-02-24,2015-12-24,2018-12-24,Lincoln National Corporation,0.5,2643256.0,1.0,,rsu,rsu,Stock Award,,
2016,498656,1.0,1393258,,0.0,51644,3628.0,2016-02-29,2015-12-29,2018-12-29,The Interpublic Group Of Companies INC,0.0,4882398.0,1.0,,rsu,rsu,Stock Award,,
2016,499130,1.0,1393757,,3170670.0,101778,199698.0,2016-02-24,2015-12-24,2018-12-24,Marathon Oil CORP,1.0,3170670.0,1.0,,rsu,rsu,Stock Award,,
2016,499821,1.0,1394502,,1197526.5,929008,130181.0,2016-02-16,2015-12-16,2018-12-16,Wesco International INC,0.5,2395053.0,1.0,,rsu,rsu,Stock Award,,
2016,499922,1.0,1394650,Profit Margin,324450.0,1050797,15924.0,2016-01-01,2016-01-01,2019-01-01,Columbia Sportswear Company,1.0,324450.0,1.0,,cashLong,cashLong,Cash Award,,
2018,500570,1.0,1395122,,1503729.25,1047122,209224.0,2018-01-24,2017-12-24,2020-12-24,Raytheon CO,0.25,6014917.0,1.0,,rsu,rsu,Stock Award,,
2016,500610,1.0,1395139,,1304450.75,1047122,209224.0,2016-01-27,2015-12-27,2018-12-27,Raytheon CO,0.25,5217803.0,1.0,,rsu,rsu,Stock Award,,
2016,500962,1.0,1395302,Other,26685.582,1164727,191331.0,2016-01-01,2016-01-01,2017-01-01,Newmont Corporation,0.014,1906113.0,1.0,,cashShort,cashShort,Cash Award,,
2016,500989,1.0,1395308,,2348909.0,1164727,191331.0,2016-02-22,2015-12-22,2018-12-22,Newmont Corporation,0.25,9395636.0,1.0,,rsu,rsu,Stock Award,,
2016,502507,1.0,1396551,,871060.0,77877,217513.0,2016-01-11,2016-01-11,2019-01-11,Pdc Energy INC,1.0,871060.0,1.0,,rsu,rsu,Stock Award,,
2018,503003,1.0,1397026,,833337.75,805022,176278.0,2018-02-06,2018-01-06,2021-01-06,Buckeye Partners LP,0.25,3333351.0,1.0,,rsu,rsu,Stock Award,,
2016,503019,1.0,1397046,,808381.25,805022,176278.0,2016-02-10,2018-01-10,2019-01-10,Buckeye Partners LP,0.25,3233525.0,1.0,,rsu,rsu,Stock Award,,
2016,503279,1.0,1397281,ROA,360003.0,1070154,86140.0,2016-02-18,2015-12-18,2018-12-18,Sterling Bancorp,0.5,720006.0,1.0,,rsu,rsu,Stock Award,,
2016,503280,1.0,1397281,EPS,360003.0,1070154,86140.0,2016-02-18,2015-12-18,2018-12-18,Sterling Bancorp,0.5,720006.0,1.0,,rsu,rsu,Stock Award,,
2016,504009,1.0,1397720,,1230942.0,1538990,16109.0,2016-02-17,2015-12-17,2018-12-17,Store Capital Corporation,0.5,2461884.0,1.0,,rsu,rsu,Stock Award,,
2016,504595,1.0,1398531,,4647767.0,60667,40851.0,2016-04-01,2016-02-01,2019-02-01,Lowes Companies INC,1.0,4647767.0,1.0,,rsu,rsu,Stock Award,,
2016,504715,1.0,1398636,,0.0,315213,1494.0,2016-03-23,2015-12-23,2018-12-23,Robert Half International INC,0.0,5536448.0,1.0,,rsu,rsu,Stock Award,,
2016,505103,1.0,1398856,ROA,176250.0,109380,1215.0,2016-01-01,2016-01-01,2017-01-01,Zions Bancorporation National Association,0.15,1175000.0,1.0,,Unit Cash,Unit Cash,Cash Award,,
2016,505625,1.0,1399362,Profit Margin,273625.0,887596,6748.0,2016-01-01,2016-01-01,2017-01-01,Cheesecake Factory INC,0.25,1094500.0,1.0,,cashShort,cashShort,Cash Award,,
2016,505777,1.0,1399449,,790800.0,1579241,58514.0,2016-02-16,2015-12-16,2018-12-16,Allegion Plc,0.5,1581600.0,1.0,,rsu,rsu,Stock Award,,
2016,510356,1.0,1403161,,687496.5,30697,200805.0,2016-02-25,2015-12-25,2018-12-25,The Wendy's Company,0.5,1374993.0,1.0,,rsu,rsu,Stock Award,,
2016,511015,1.0,1403580,,1799982.0,906107,43079.0,2016-01-01,2016-01-01,2019-01-01,Equity Residential,0.5,3599964.0,1.0,,rsu,rsu,Stock Award,,
2016,511016,1.0,1403580,,899991.0,906107,43079.0,2016-01-01,2016-01-01,2019-01-01,Equity Residential,0.25,3599964.0,1.0,,rsu,rsu,Stock Award,,
2016,511474,1.0,1403897,,0.0,1057352,20623.0,2016-03-11,2016-01-11,2019-01-11,Costar Group INC,0.0,2042069.0,1.0,,rsu,rsu,Stock Award,,
2017,511517,1.0,1403931,,0.0,1057352,20623.0,2017-03-02,2017-01-02,2020-01-02,Costar Group INC,0.0,2465695.0,1.0,,rsu,rsu,Stock Award,,
2016,511775,1.0,1404092,,258187.5,1090012,118065.0,2016-03-01,2016-01-01,2017-01-01,Devon Energy Corporation,0.15,1721250.0,1.0,,cashShort,cashShort,Cash Award,,
2016,513835,1.0,1405367,,6874440.0,831259,16736.0,2016-03-30,2015-12-30,2018-12-30,Freeport-mcmoran INC,1.0,6874440.0,1.0,,rsu,rsu,Stock Award,,
2016,514115,1.0,1405561,,2992489.0,803649,10751.0,2016-01-26,2015-12-26,2018-12-26,Equity Commonwealth,1.0,2992489.0,1.0,,rsu,rsu,Stock Award,,
2016,514644,1.0,1405848,,2999928.0,1418135,128774.0,2016-03-02,2016-01-02,2019-01-02,Dr Pepper Snapple Group INC,1.0,2999928.0,1.0,,rsu,rsu,Stock Award,,
2016,515552,1.0,1406320,,3789450.0,1581164,77213.0,2016-02-24,2015-12-24,2018-12-24,Extended Stay America INC,1.0,3789450.0,1.0,,rsu,rsu,Stock Award,,
2016,516149,1.0,1406684,,5655989.0,4447,61.0,2016-03-01,2016-01-01,2019-01-01,Hess Corporation,1.0,5655989.0,1.0,,rsu,rsu,Stock Award,,
2016,516633,1.0,1406854,,2291587.0,1099219,101479.0,2016-02-23,2015-12-23,2018-12-23,Metlife INC,0.5,4583174.0,1.0,,rsu,rsu,Stock Award,,
2016,519481,1.0,1408265,,624989.0,1111335,227414.0,2016-03-04,2016-01-04,2017-01-04,Visteon Corporation,0.25,2499956.0,1.0,,rsu,rsu,Stock Award,,
2016,519481,2.0,1408265,,624989.0,1111335,227414.0,2016-03-04,2016-01-04,2018-01-04,Visteon Corporation,0.25,2499956.0,1.0,,rsu,rsu,Stock Award,,
2016,519481,3.0,1408265,,1249978.0,1111335,227414.0,2016-03-04,2016-01-04,2019-01-04,Visteon Corporation,0.5,2499956.0,1.0,,rsu,rsu,Stock Award,,
2016,520233,1.0,1408612,Sales,357812.5,27904,143788.0,2016-01-01,2016-01-01,2017-01-01,Delta Air Lines INC,0.25,1431250.0,1.0,,cashShort,cashShort,Cash Award,,
2016,520230,1.0,1408617,Sales,400000.0,27904,18896.0,2016-01-01,2016-01-01,2017-01-01,Delta Air Lines INC,0.25,1600000.0,1.0,,cashShort,cashShort,Cash Award,,
2016,520253,1.0,1408620,Operating Income,1700000.0,27904,143788.0,2016-02-02,2016-01-02,2019-01-02,Delta Air Lines INC,0.5,3400000.0,1.0,,rsu,rsu,Stock Award,,
2016,520250,1.0,1408625,Operating Income,646000.0,27904,18896.0,2016-02-02,2016-01-02,2019-01-02,Delta Air Lines INC,0.5,1292000.0,1.0,,rsu,rsu,Stock Award,,
2017,520292,1.0,1408646,Sales,1586230.0,867374,16033.0,2017-11-07,2018-01-07,2019-01-07,Electronics For Imaging INC,1.0,1586230.0,1.0,,rsu,rsu,Stock Award,,
2017,520292,2.0,1408646,Sales,1586230.0,867374,16033.0,2017-11-07,2019-01-07,2020-01-07,Electronics For Imaging INC,1.0,1586230.0,1.0,,rsu,rsu,Stock Award,,
2017,520292,3.0,1408646,Sales,1586230.0,867374,16033.0,2017-11-07,2020-01-07,2021-01-07,Electronics For Imaging INC,1.0,1586230.0,1.0,,rsu,rsu,Stock Award,,
2017,520294,1.0,1408647,Other,1586208.0,867374,16033.0,2017-11-07,2018-01-07,2019-01-07,Electronics For Imaging INC,1.0,1586208.0,1.0,,rsu,rsu,Stock Award,,
2017,520294,2.0,1408647,Other,1586208.0,867374,16033.0,2017-11-07,2019-01-07,2020-01-07,Electronics For Imaging INC,1.0,1586208.0,1.0,,rsu,rsu,Stock Award,,
2017,520294,3.0,1408647,Other,1586208.0,867374,16033.0,2017-11-07,2020-01-07,2021-01-07,Electronics For Imaging INC,1.0,1586208.0,1.0,,rsu,rsu,Stock Award,,
2017,520283,1.0,1408648,Sales,1473438.0,867374,16033.0,2017-12-08,2018-01-08,2019-01-08,Electronics For Imaging INC,1.0,1473438.0,1.0,,rsu,rsu,Stock Award,,
2017,520283,2.0,1408648,Sales,1473438.0,867374,16033.0,2017-12-08,2019-01-08,2020-01-08,Electronics For Imaging INC,1.0,1473438.0,1.0,,rsu,rsu,Stock Award,,
2017,520283,3.0,1408648,Sales,1473438.0,867374,16033.0,2017-12-08,2020-01-08,2021-01-08,Electronics For Imaging INC,1.0,1473438.0,1.0,,rsu,rsu,Stock Award,,
